Energy	total	scatter	capture	fission
0.125	5.722044	5.711745	0.01029894	0
0.1375	5.721012	5.711189	0.009822994	0
0.15	5.720131	5.710724	0.009406329	0
0.1625	5.71937	5.710331	0.009038701	0
0.175	5.718705	5.709993	0.008711374	0
0.1875	5.718118	5.7097	0.008417682	0
0.2	5.717596	5.709443	0.008152812	0
0.21875	5.716911	5.709112	0.007798658	0
0.2375	5.716318	5.708832	0.00748648	0
0.25625	5.715801	5.708591	0.007209345	0
0.275	5.715344	5.708383	0.006961204	0
0.29375	5.714938	5.708201	0.006737337	0
0.3125	5.714574	5.70804	0.006534038	0
0.33125	5.714245	5.707896	0.0063485	0
0.35	5.713947	5.707768	0.006179259	0
0.3875	5.713423	5.707546	0.005877415	0
0.425	5.712976	5.707361	0.005615292	0
0.5	5.712253	5.707069	0.005184242	0
0.625	5.711371	5.706724	0.004647031	0
0.75	5.710732	5.706482	0.004250731	0
0.875	5.710241	5.706296	0.003944495	0
1	5.709846	5.706148	0.003698275	0
1.25	5.709237	5.705915	0.003321575	0
1.5	5.708778	5.705733	0.003045013	0
1.75	5.708411	5.705579	0.002831627	0
2	5.708105	5.705444	0.002660333	0
2.375	5.707721	5.705263	0.002457141	0
2.75	5.707397	5.705099	0.002298517	0
3.125	5.707115	5.704945	0.002170037	0
3.5	5.70686	5.704797	0.002063685	0
4.25	5.706413	5.704516	0.001896976	0
5	5.706019	5.704248	0.001771645	0
5.00005	5.706018977	0	0.001771639	0
6.25	5.705434	0	0.001618913	0
7.5	5.704902	0	0.001509666	0
8.75	5.704403	0	0.001427759	0
10	5.703928	0	0.00136419	0
12.5	5.703019	0	0.001272627	0
15	5.702149	0	0.001211382	0
17.5	5.701301	0	0.001169188	0
20	5.700471	0	0.001139864	0
23.75	5.699246	0	0.001112476	0
27.5	5.698042	0	0.001099053	0
31.25	5.696854	0	0.001095536	0
35	5.695677	0	0.001099583	0
42.5	5.693356	0	0.001124846	0
50	5.691071	0	0.001167961	0
62.5	5.687336	0	0.001271975	0
75	5.683691	0	0.001413306	0
87.5	5.680143	0	0.001594262	0
100	5.676701	0	0.0018212	0
112.5	5.673385	0	0.002104483	0
125	5.670219	0	0.00245935	0
131.25	5.668703	0	0.002670192	0
137.5	5.667241	0	0.002908174	0
143.75	5.665841	0	0.003177519	0
150	5.66451	0	0.00348358	0
156.25	5.663262	0	0.003832916	0
162.5	5.66211	0	0.004233638	0
168.75	5.661072	0	0.004695855	0
175	5.660172	0	0.005232293	0
181.25	5.659437	0	0.005859133	0
187.5	5.658906	0	0.006597204	0
193.75	5.658628	0	0.007473659	0
200	5.65867	0	0.008524443	0
205.5115	5.659056	0	0.009642346	0
211.0229	5.659853	0	0.01098479	0
216.5343	5.661163	0	0.0126065	0
219.29	5.661952	0	0.01349035	0
222.0457	5.663005	0	0.01451775	0
227.5571	5.66582	0	0.0169567	0
233.0685	5.669807	0	0.02002953	0
235.8242	5.672362	0	0.02186773	0
238.5799	5.675376	0	0.02395385	0
241.3356	5.678941	0	0.02633512	0
244.0913	5.683187	0	0.02908127	0
247.4376	5.689495	0	0.03303194	0
250.7838	5.697379	0	0.03782218	0
254.13	5.707313	0	0.04370281	0
257.4762	5.719964	0	0.05102442	0
259.1493	5.727504	0	0.05532823	0
260.8224	5.736291	0	0.06029101	0
262.4955	5.745982	0	0.06573102	0
264.1686	5.757135	0	0.07194128	0
265.8417	5.770248	0	0.07918387	0
267.5148	5.785505	0	0.08755307	0
269.1879	5.803377	0	0.09729524	0
270.861	5.824474	0	0.1087278	0
272.6326	5.851234	0	0.1231482	0
274.4041	5.883794	0	0.140601	0
276.1756	5.923865	0	0.1619743	0
277.0614	5.94715	0	0.174356	0
277.9471	5.973817	0	0.1884994	0
278.8329	6.003199	0	0.2040558	0
279.7187	6.037071	0	0.2219488	0
280.6045	6.075096	0	0.2420001	0
281.4902	6.11859	0	0.2648933	0
282.376	6.167496	0	0.2905961	0
283.2617	6.225194	0	0.3208608	0
284.1475	6.292492	0	0.3561026	0
285.0332	6.371519	0	0.397421	0
285.9682	6.470867	0	0.4492819	0
286.9032	6.591015	0	0.5119033	0
287.8382	6.738145	0	0.5884727	0
288.7731	6.920907	0	0.6834482	0
289.7081	7.151816	0	0.8032759	0
290.1756	7.290787	0	0.8753215	0
290.6431	7.44912	0	0.9573498	0
291.1106	7.629586	0	1.050787	0
291.5781	7.836563	0	1.157884	0
292.0456	8.078895	0	1.283192	0
292.513	8.364017	0	1.430531	0
293.0051	8.720965	0	1.614869	0
293.4972	9.151764	0	1.837201	0
293.9893	9.67828	0	2.108759	0
294.4814	10.33116	0	2.445275	0
294.9735	11.15434	0	2.86931	0
295.2196	11.64886	0	3.123929	0
295.4656	12.21158	0	3.413574	0
295.7117	12.85553	0	3.744929	0
295.9577	13.59661	0	4.12615	0
296.2037	14.45746	0	4.568848	0
296.4497	15.46758	0	5.088147	0
296.7204	16.79657	0	5.771158	0
296.9911	18.41729	0	6.603818	0
297.2618	20.4212	0	7.633	0
297.5324	22.93922	0	8.925784	0
297.6678	24.44997	0	9.701235	0
297.8031	26.16818	0	10.58302	0
297.9384	28.1355	0	11.59248	0
298.0737	30.4032	0	12.75587	0
298.2091	33.0392	0	14.10798	0
298.3444	36.12572	0	15.6909	0
298.4797	39.77922	0	17.56428	0
298.615	44.15541	0	19.80782	0
298.7504	49.47479	0	22.53442	0
298.8857	56.03823	0	25.89807	0
299.021	64.30575	0	30.13423	0
299.0887	69.2888	0	32.68709	0
299.1563	74.9821	0	35.60353	0
299.224	81.55943	0	38.97246	0
299.2916	89.20357	0	42.8874	0
299.3593	98.20017	0	47.49447	0
299.4269	108.8639	0	52.95465	0
299.4946	121.6699	0	59.51098	0
299.5622	137.1504	0	67.43566	0
299.6299	156.078	0	77.12388	0
299.6975	179.3041	0	89.01099	0
299.7714	210.9538	0	105.2075	0
299.8083	229.7163	0	114.8083	0
299.8452	250.7659	0	125.5789	0
299.8821	274.3584	0	137.6499	0
299.919	300.7606	0	151.1579	0
299.9559	330.2457	0	166.2425	0
299.9928	363.0876	0	183.0436	0
300.0666	439.8942	0	222.3334	0
300.1404	533.0641	0	269.9898	0
300.2142	643.8733	0	326.6643	0
300.288	772.5862	0	392.4908	0
300.3864	969.8021	0	493.342	0
300.4848	1188.853	0	605.3471	0
300.6816	1631.635	0	831.7055	0
300.7612	1782.801	0	908.9618	0
300.8408	1900.629	0	969.1618	0
300.9204	1975.497	0	1007.387	0
301	2001.014	0	1020.372	0
301.0793	1975.161	0	1007.089	0
301.1586	1900.4	0	968.7996	0
301.2379	1783.103	0	908.7657	0
301.3171	1633.007	0	831.9681	0
301.5113	1197.123	0	609.0087	0
301.6084	980.79	0	498.3737	0
301.7054	785.3609	0	398.4399	0
301.7904	637.2762	0	322.7231	0
301.8329	572.0865	0	289.3933	0
301.8753	512.9512	0	259.1604	0
301.9178	459.4419	0	231.805	0
301.9602	411.5622	0	207.3287	0
302.0027	368.7629	0	185.4506	0
302.0451	330.8733	0	166.0832	0
302.0876	297.3117	0	148.929	0
302.1301	267.7577	0	133.8239	0
302.1726	241.7986	0	120.5571	0
302.215	219.0864	0	108.9502	0
302.2575	199.1386	0	98.75676	0
302.2999	181.7027	0	89.84742	0
302.3424	166.3797	0	82.01827	0
302.3848	152.9582	0	75.16115	0
302.4576	133.5493	0	65.24588	0
302.5304	117.8398	0	57.22154	0
302.6032	104.9951	0	50.66131	0
302.676	94.37355	0	45.23718	0
302.7488	85.48769	0	40.69997	0
302.8216	77.96921	0	36.86141	0
302.8944	71.53995	0	33.57932	0
302.9672	65.98883	0	30.74583	0
303.04	61.15435	0	28.2784	0
303.1128	56.91161	0	26.11321	0
303.2584	49.83034	0	22.49999	0
303.404	44.17682	0	19.61584	0
303.5495	39.58037	0	17.2714	0
303.683	36.06944	0	15.48096	0
303.8165	33.08858	0	13.9611	0
303.95	30.53339	0	12.65848	0
304.0834	28.32642	0	11.53358	0
304.2169	26.40351	0	10.55362	0
304.3503	24.71984	0	9.695727	0
304.6172	21.92012	0	8.269502	0
304.8842	19.70095	0	7.139388	0
305.1511	17.91249	0	6.22891	0
305.418	16.44946	0	5.484342	0
305.6849	15.23781	0	4.867911	0
305.9397	14.26501	0	4.373151	0
306.1945	13.43431	0	3.95079	0
306.4493	12.71783	0	3.586618	0
306.7041	12.09527	0	3.270276	0
306.9589	11.55132	0	2.993961	0
307.2137	11.07361	0	2.751377	0
307.7232	10.27795	0	2.347509	0
308.2328	9.645908	0	2.026896	0
308.7423	9.135521	0	1.768157	0
309.2519	8.717174	0	1.556213	0
309.7614	8.370124	0	1.380502	0
310.2468	8.092408	0	1.239986	0
310.7321	7.856779	0	1.120842	0
311.2174	7.652797	0	1.017763	0
311.7027	7.474704	0	0.9278217	0
312.188	7.319079	0	0.8492775	0
312.6733	7.182481	0	0.7803811	0
313.6439	6.954856	0	0.6656868	0
314.6145	6.774037	0	0.5747013	0
315.5851	6.62795	0	0.5012957	0
316.5557	6.508181	0	0.4412021	0
317.5263	6.408734	0	0.3913803	0
318.4484	6.329083	0	0.3515359	0
319.3705	6.261082	0	0.3175713	0
320.2926	6.203559	0	0.2888912	0
321.2146	6.152438	0	0.2634376	0
323.0588	6.068444	0	0.2217193	0
324.9029	6.003038	0	0.1893516	0
326.7471	5.950928	0	0.1636626	0
328.5912	5.908615	0	0.1428881	0
330.4353	5.87377	0	0.1258549	0
332.2794	5.844764	0	0.111743	0
333.6383	5.8264	0	0.102848	0
334.9971	5.810125	0	0.09499534	0
337.7148	5.782604	0	0.08179677	0
340.4325	5.760762	0	0.07142398	0
341.7914	5.750826	0	0.06672691	0
343.1502	5.742349	0	0.06275336	0
345.8679	5.72695	0	0.05557654	0
348.5856	5.713927	0	0.0495749	0
351.3033	5.702811	0	0.04451531	0
354.021	5.693256	0	0.04022434	0
356.9329	5.684402	0	0.03630732	0
359.8447	5.676695	0	0.03295242	0
362.7565	5.669922	0	0.03005471	0
365.6683	5.663919	0	0.02753309	0
368.5801	5.658559	0	0.02532418	0
371.4919	5.653738	0	0.02337778	0
374.4037	5.649376	0	0.02165362	0
377.3155	5.645494	0	0.02016165	0
383.1392	5.638479	0	0.0175386	0
388.9628	5.6325	0	0.01541305	0
394.7864	5.627315	0	0.01366705	0
400.61	5.622753	0	0.01221647	0
406.8219	5.618419	0	0.0109214	0
413.0338	5.614521	0	0.00983066	0
419.2457	5.610973	0	0.008902952	0
425.4575	5.607709	0	0.008106977	0
431.6694	5.60468	0	0.007418599	0
437.8813	5.601847	0	0.00681999	0
450.305	5.596647	0	0.005831575	0
462.7288	5.591921	0	0.005053955	0
475.1525	5.587551	0	0.004431138	0
487.5763	5.583454	0	0.003924003	0
500	5.579571	0	0.003505102	0
511.545	5.576115	0	0.003177622	0
523.09	5.572782	0	0.002897642	0
534.635	5.569549	0	0.002656194	0
546.18	5.566405	0	0.002446584	0
569.27	5.560328	0	0.002101497	0
592.3599	5.554478	0	0.001830834	0
619.7793	5.547772	0	0.00158105	0
647.1986	5.541261	0	0.001383777	0
660.9083	5.538055	0	0.001297708	0
674.618	5.534909	0	0.001225122	0
702.0373	5.528693	0	0.001095974	0
729.4567	5.522594	0	9.90E-04	0
756.876	5.516609	0	9.06E-04	0
784.2954	5.510727	0	8.42E-04	0
798.0051	5.507818	0	8.19E-04	0
811.7147	5.504941	0	8.07E-04	0
821.8166	5.50285	0	8.14E-04	0
826.8675	5.501816	0	8.26E-04	0
831.9184	5.500796	0	8.48E-04	0
836.9694	5.499793	0	8.84E-04	0
839.4949	5.499304	0	9.13E-04	0
842.0203	5.498826	0	9.51E-04	0
844.5458	5.498363	0	0.001003981	0
847.0712	5.49792	0	0.001074601	0
849.5967	5.497512	0	0.001178664	0
850.8594	5.497327	0	0.001248272	0
852.1221	5.497158	0	0.001334335	0
853.2947	5.497023	0	0.001433705	0
854.4672	5.496912	0	0.001557394	0
855.6398	5.496835	0	0.001712757	0
856.8123	5.496807	0	0.001916534	0
857.9849	5.49685	0	0.002188111	0
858.5712	5.496907	0	0.002358764	0
859.1574	5.496996	0	0.002560057	0
859.7437	5.497124	0	0.002799834	0
860.33	5.497302	0	0.003088235	0
860.9163	5.497544	0	0.003438523	0
861.5025	5.497868	0	0.003869624	0
861.9761	5.498211	0	0.004296798	0
862.4496	5.49865	0	0.00481776	0
862.9231	5.499215	0	0.005462125	0
863.3966	5.499948	0	0.006271635	0
863.8701	5.500912	0	0.007307946	0
864.1069	5.501509	0	0.007938908	0
864.3436	5.502203	0	0.008665239	0
864.5804	5.503016	0	0.009508481	0
864.8171	5.503975	0	0.01049533	0
865.0539	5.505119	0	0.01166315	0
865.2906	5.506495	0	0.01306053	0
865.5387	5.508265	0	0.01484749	0
865.7867	5.510486	0	0.01707837	0
865.9108	5.51182	0	0.01841459	0
866.0348	5.513344	0	0.01993797	0
866.1588	5.515106	0	0.02169554	0
866.2828	5.517172	0	0.02375373	0
866.4069	5.519646	0	0.02621505	0
866.5309	5.522684	0	0.02923295	0
866.6549	5.526542	0	0.03306211	0
866.7169	5.5289	0	0.03540078	0
866.7789	5.531636	0	0.03811346	0
866.8409	5.534843	0	0.04129215	0
866.9029	5.538638	0	0.04505334	0
866.9649	5.543171	0	0.04954382	0
867.0269	5.548626	0	0.05494743	0
867.0889	5.555234	0	0.06149276	0
867.1509	5.56328	0	0.06946183	0
867.2129	5.573112	0	0.07919956	0
867.2749	5.585151	0	0.09112385	0
867.337	5.599931	0	0.1057619	0
867.399	5.618005	0	0.1236621	0
867.461	5.640097	0	0.1455428	0
867.523	5.667022	0	0.1722116	0
867.585	5.699712	0	0.2045911	0
867.647	5.739216	0	0.24372	0
867.709	5.786694	0	0.2907501	0
867.771	5.843413	0	0.346936	0
867.833	5.910728	0	0.4136188	0
867.895	5.990051	0	0.4922003	0
867.957	6.082824	0	0.5841094	0
868.019	6.190473	0	0.6907579	0
868.081	6.31435	0	0.8134875	0
868.143	6.455675	0	0.9535079	0
868.205	6.615466	0	1.111827	0
868.267	6.79446	0	1.289178	0
868.3347	7.012279	0	1.505003	0
868.4023	7.252969	0	1.743495	0
868.47	7.516417	0	2.004546	0
868.5376	7.800205	0	2.285759	0
868.6729	8.419402	0	2.899368	0
868.8082	9.079458	0	3.55351	0
868.9661	9.84168	0	4.308969	0
869.1239	10.5132	0	4.974627	0
869.2141	10.82274	0	5.281511	0
869.3043	11.05994	0	5.516743	0
869.4283	11.24777	0	5.703136	0
869.5	11.27702	0	5.732274	0
869.5925	11.22662	0	5.682543	0
869.6562	11.13541	0	5.592294	0
869.6721	11.10572	0	5.562912	0
869.704	11.03814	0	5.496007	0
869.7916	10.80069	0	5.260889	0
869.8791	10.49642	0	4.95954	0
870.0543	9.74001	0	4.210258	0
870.2295	8.887509	0	3.365664	0
870.3967	8.088041	0	2.573535	0
870.4803	7.718288	0	2.207154	0
870.5639	7.377482	0	1.869444	0
870.6475	7.069704	0	1.564452	0
870.7311	6.797059	0	1.294264	0
870.8147	6.55991	0	1.059245	0
870.8982	6.357416	0	0.8585626	0
870.9739	6.201745	0	0.7042785	0
871.0495	6.070571	0	0.5742696	0
871.1252	5.961101	0	0.4657678	0
871.163	5.913827	0	0.4189099	0
871.2008	5.871038	0	0.3764976	0
871.2387	5.832316	0	0.3381153	0
871.2765	5.797548	0	0.3036519	0
871.3143	5.76632	0	0.2726969	0
871.3521	5.738337	0	0.2449578	0
871.3899	5.713317	0	0.2201551	0
871.4277	5.690991	0	0.1980235	0
871.4655	5.671108	0	0.1783127	0
871.5033	5.653431	0	0.1607884	0
871.5412	5.6377	0	0.1451934	0
871.579	5.623795	0	0.1314073	0
871.6168	5.611481	0	0.1191999	0
871.6546	5.600588	0	0.1084003	0
871.6925	5.590934	0	0.09882869	0
871.7303	5.582426	0	0.09039346	0
871.7681	5.574907	0	0.0829396	0
871.8059	5.568263	0	0.07635167	0
871.8816	5.557173	0	0.06535752	0
871.9572	5.548478	0	0.05673805	0
872.0328	5.541605	0	0.04992485	0
872.1084	5.53612	0	0.04448894	0
872.1801	5.531899	0	0.04030598	0
872.2518	5.52841	0	0.03685016	0
872.3235	5.525488	0	0.03395719	0
872.3951	5.523011	0	0.03150534	0
872.5384	5.519017	0	0.02755598	0
872.6817	5.515915	0	0.02449177	0
872.825	5.513407	0	0.02201947	0
872.9683	5.511321	0	0.01996622	0
873.1116	5.509549	0	0.01822545	0
873.2549	5.508021	0	0.01672755	0
873.3982	5.506688	0	0.01542416	0
873.5415	5.505516	0	0.01428063	0
873.8281	5.503549	0	0.01237134	0
874.1147	5.501969	0	0.0108469	0
874.4013	5.500675	0	0.009607898	0
874.672	5.499653	0	0.008637926	0
874.9427	5.498783	0	0.00782028	0
875.2134	5.498036	0	0.007124306	0
875.4841	5.497386	0	0.006526691	0
875.7548	5.496817	0	0.006009351	0
876.0255	5.496314	0	0.005558075	0
876.5668	5.495463	0	0.004811399	0
877.1082	5.494769	0	0.004222195	0
877.6495	5.494192	0	0.003749353	0
878.1909	5.493701	0	0.003364198	0
878.7322	5.493278	0	0.003046595	0
879.4329	5.492807	0	0.002712591	0
880.1335	5.492401	0	0.002444408	0
880.8341	5.492043	0	0.002223807	0
881.5347	5.49172	0	0.002039756	0
882.2353	5.491427	0	0.001885219	0
882.9359	5.491157	0	0.001754358	0
884.3371	5.49067	0	0.00154621	0
885.7383	5.490235	0	0.001389525	0
887.1395	5.489834	0	0.001268646	0
888.5407	5.48946	0	0.001174846	0
889.9419	5.489102	0	0.001097556	0
891.8527	5.488636	0	0.001014001	0
893.7634	5.488188	0	9.49E-04	0
895.6742	5.487753	0	8.97E-04	0
897.5849	5.487328	0	8.55E-04	0
901.4064	5.486498	0	7.92E-04	0
905.2278	5.485685	0	7.45E-04	0
909.0493	5.484884	0	7.10E-04	0
912.8707	5.484093	0	6.84E-04	0
920.5136	5.482524	0	6.43E-04	0
928.1566	5.480968	0	6.13E-04	0
935.7995	5.479423	0	5.91E-04	0
951.0853	5.476354	0	5.56E-04	0
967.3902	5.473105	0	5.29E-04	0
1000	5.466664	0	4.86E-04	0
1031.25	5.460556	0	4.54E-04	0
1062.5	5.454502	0	4.27E-04	0
1125	5.442539	0	3.82E-04	0
1187.5	5.430746	0	3.47E-04	0
1250	5.419095	0	3.18E-04	0
1312.5	5.407562	0	2.94E-04	0
1375	5.396125	0	2.74E-04	0
1437.5	5.384765	0	2.57E-04	0
1500	5.373461	0	2.43E-04	0
1625	5.350949	0	2.22E-04	0
1750	5.328447	0	2.06E-04	0
1875	5.30582	0	1.96E-04	0
2000	5.282938	0	1.89E-04	0
2113.501	5.261831	0	1.87E-04	0
2241.19	5.237552	0	1.88E-04	0
2368.878	5.212602	0	1.93E-04	0
2496.566	5.186843	0	2.02E-04	0
2560.41	5.173696	0	2.08E-04	0
2624.254	5.160143	0	2.16E-04	0
2688.099	5.146484	0	2.25E-04	0
2751.943	5.132378	0	2.38E-04	0
2815.787	5.118096	0	2.51E-04	0
2879.631	5.10346	0	2.68E-04	0
2943.475	5.088603	0	2.87E-04	0
3007.319	5.073403	0	3.12E-04	0
3071.163	5.057949	0	3.41E-04	0
3135.007	5.042294	0	3.77E-04	0
3213.039	5.023044	0	4.36E-04	0
3252.055	5.013455	0	4.71E-04	0
3291.071	5.004012	0	5.14E-04	0
3330.087	4.994815	0	5.65E-04	0
3369.103	4.98585	0	6.23E-04	0
3408.119	4.977538	0	6.97E-04	0
3447.134	4.970042	0	7.87E-04	0
3473.736	4.965717	0	8.63E-04	0
3500.338	4.962281	0	9.53E-04	0
3526.94	4.96007	0	0.00106345	0
3553.541	4.959601	0	0.001200072	0
3566.842	4.960038	0	0.001278267	0
3580.143	4.96138	0	0.00136952	0
3593.444	4.963644	0	0.001473788	0
3606.745	4.967059	0	0.001594026	0
3620.046	4.971928	0	0.001734159	0
3633.347	4.978669	0	0.00189954	0
3646.648	4.987873	0	0.002097719	0
3659.948	5.000402	0	0.002339651	0
3670.146	5.013412	0	0.002569431	0
3680.343	5.028987	0	0.002832296	0
3690.54	5.049754	0	0.003161675	0
3700.737	5.076659	0	0.003569079	0
3710.935	5.112341	0	0.00408725	0
3716.034	5.134478	0	0.004400281	0
3721.132	5.160808	0	0.004765688	0
3726.231	5.191587	0	0.005186498	0
3731.329	5.227646	0	0.00567289	0
3736.428	5.271521	0	0.006256088	0
3741.526	5.323454	0	0.006938724	0
3746.182	5.382122	0	0.007700536	0
3750.837	5.45364	0	0.008620061	0
3755.493	5.542035	0	0.009746175	0
3760.148	5.653092	0	0.01114897	0
3764.804	5.795109	0	0.01292877	0
3767.132	5.881382	0	0.01400416	0
3769.459	5.98047	0	0.01523501	0
3771.787	6.095443	0	0.01665833	0
3774.114	6.229129	0	0.01830808	0
3776.442	6.38483	0	0.02022396	0
3778.769	6.568148	0	0.0224732	0
3781.097	6.79015	0	0.02518887	0
3783.425	7.059414	0	0.02847365	0
3785.753	7.38988	0	0.03249444	0
3788.08	7.801349	0	0.03748813	0
3790.408	8.323045	0	0.04380413	0
3791.572	8.637835	0	0.04760857	0
3792.735	8.997399	0	0.05194911	0
3793.899	9.41106	0	0.05693705	0
3795.063	9.888761	0	0.06269089	0
3796.227	10.44374	0	0.06936842	0
3797.39	11.09535	0	0.0772001	0
3798.61	11.91279	0	0.08701395	0
3799.829	12.90425	0	0.09890375	0
3801.048	14.12163	0	0.1134868	0
3802.267	15.6383	0	0.1316354	0
