52.0						
0.0	0.0					
0.0	0.0					
0.0	0.0					
1.00E-05	24.26789	43.06217	0.00000	0.00000		
1.06E-05	23.55318	41.77644	0.00000	0.00000		
1.13E-05	22.89917	40.59939	0.00000	0.00000		
1.19E-05	22.29775	39.51655	0.00000	0.00000		
1.25E-05	21.74225	38.51596	0.00000	0.00000		
1.38E-05	20.74775	36.72352	0.00000	0.00000		
1.50E-05	19.88105	35.16009	0.00000	0.00000		
1.63E-05	19.11703	33.78072	0.00000	0.00000		
1.75E-05	18.43697	32.55191	0.00000	0.00000		
1.88E-05	17.82662	31.44813	0.00000	0.00000		
2.00E-05	17.27489	30.44951	0.00000	0.00000		
2.19E-05	16.53850	29.11530	0.00000	0.00000		
2.38E-05	15.89195	27.94238	0.00000	0.00000		
2.56E-05	15.31846	26.90068	0.00000	0.00000		
2.75E-05	14.80531	25.96741	0.00000	0.00000		
2.94E-05	14.34269	25.12500	0.00000	0.00000		
3.13E-05	13.92288	24.35958	0.00000	0.00000		
3.31E-05	13.53973	23.66012	0.00000	0.00000		
3.50E-05	13.18823	23.01764	0.00000	0.00000		
3.88E-05	12.56454	21.87554	0.00000	0.00000		
4.25E-05	12.02668	20.88815	0.00000	0.00000		
4.63E-05	11.55680	20.02342	0.00000	0.00000		
5.00E-05	11.14187	19.25791	0.00000	0.00000		
5.31E-05	10.83091	18.68291	0.00000	0.00000		
5.63E-05	10.54683	18.15652	0.00000	0.00000		
5.94E-05	10.28601	17.67225	0.00000	0.00000		
6.25E-05	10.04551	17.22477	0.00000	0.00000		
6.88E-05	9.61598	16.42317	0.00000	0.00000		
7.50E-05	9.24285	15.72397	0.00000	0.00000		
8.13E-05	8.91499	15.10710	0.00000	0.00000		
8.75E-05	8.62410	14.55755	0.00000	0.00000		
9.38E-05	8.36386	14.06392	0.00000	0.00000		
1.00E-04	8.12937	13.61733	0.00000	0.00000		
1.06E-04	7.91673	13.21074	0.00000	0.00000		
1.13E-04	7.72285	12.83852	0.00000	0.00000		
1.19E-04	7.54520	12.49609	0.00000	0.00000		
1.25E-04	7.38169	12.17968	0.00000	0.00000		
1.38E-04	7.09050	11.61285	0.00000	0.00000		
1.50E-04	6.83850	11.11845	0.00000	0.00000		
1.63E-04	6.61790	10.68225	0.00000	0.00000		
1.75E-04	6.42289	10.29366	0.00000	0.00000		
1.88E-04	6.24908	9.94461	0.00000	0.00000		
