1.00E-05	67.33006	24.26789	43.06217		
1.06E-05	65.32962	23.55318	41.77644		
1.13E-05	63.49856	22.89917	40.59939		
1.19E-05	61.81429	22.29775	39.51655		
1.25E-05	60.25821	21.74225	38.51596		
1.38E-05	57.47128	20.74775	36.72352		
1.50E-05	55.04114	19.88105	35.16009		
1.63E-05	52.89774	19.11703	33.78072		
1.75E-05	50.98888	18.43697	32.55191		
1.88E-05	49.27475	17.82662	31.44813		
2.00E-05	47.7244	17.27489	30.44951		
2.19E-05	45.6538	16.5385	29.1153		
2.38E-05	43.83433	15.89195	27.94238		
2.56E-05	42.21914	15.31846	26.90068		
2.75E-05	40.77273	14.80531	25.96741		
2.94E-05	39.46769	14.34269	25.125		
3.13E-05	38.28247	13.92288	24.35958		
3.31E-05	37.19985	13.53973	23.66012		
3.50E-05	36.20586	13.18823	23.01764		
3.88E-05	34.44007	12.56454	21.87554		
4.25E-05	32.91482	12.02668	20.88815		
4.63E-05	31.58023	11.5568	20.02342		
5.00E-05	30.39978	11.14187	19.25791		
5.31E-05	29.51382	10.83091	18.68291		
5.63E-05	28.70334	10.54683	18.15652		
5.94E-05	27.95826	10.28601	17.67225		
6.25E-05	27.27028	10.04551	17.22477		
6.88E-05	26.03914	9.615978	16.42317		
7.50E-05	24.96683	9.242852	15.72397		
8.13E-05	24.02209	8.91499	15.1071		
8.75E-05	23.18165	8.6241	14.55755		
9.38E-05	22.42779	8.363862	14.06392		
1.00E-04	21.74669	8.129365	13.61733		
1.06E-04	21.12747	7.916731	13.21074		
1.13E-04	20.56137	7.722851	12.83852		
1.19E-04	20.04129	7.545195	12.49609		
1.25E-04	19.56137	7.381688	12.17968		
1.38E-04	18.70335	7.090495	11.61285		
1.50E-04	17.95694	6.838496	11.11845		
1.63E-04	17.30014	6.617895	10.68225		
1.75E-04	16.71655	6.422893	10.29366		
1.88E-04	16.19369	6.249077	9.944608		
2.00E-04	15.72184	6.093021	9.628814		
2.19E-04	15.09337	5.886475	9.206892		
2.38E-04	14.54291	5.706936	8.835977		
2.56E-04	14.05581	5.549253	8.506555		
2.75E-04	13.62096	5.409538	8.211427		
2.94E-04	13.22982	5.284794	7.945027		
3.13E-04	12.87565	5.172674	7.702977		
3.31E-04	12.55309	5.071304	7.481782		
3.50E-04	12.25778	4.979175	7.278608		
3.88E-04	11.73535	4.817914	6.917437		
4.25E-04	11.28653	4.681335	6.605191		
4.63E-04	10.89584	4.564107	6.331736		
5.00E-04	10.552	4.462351	6.089653		
5.31E-04	10.29508	4.387266	5.907818		
5.63E-04	10.06096	4.319606	5.741355		
5.94E-04	9.846531	4.258317	5.588214		
6.25E-04	9.649248	4.202542	5.446706		
6.88E-04	9.298017	4.104806	5.193211		
7.50E-04	8.994094	4.021992	4.972103		
8.13E-04	8.727968	3.950943	4.777025		
8.75E-04	8.492579	3.889337	4.603241		
9.38E-04	8.282566	3.835426	4.44714		
0.001	8.093779	3.787868	4.305912		
0.0010625	7.92295	3.745614	4.177336		
0.001125	7.767463	3.707834	4.059629		
0.0011875	7.625205	3.673862	3.951343		
0.00125	7.494441	3.643158	3.851283		
0.001375	7.261887	3.58985	3.672037		
0.0015	7.060879	3.545187	3.515692		
0.001625	6.884999	3.507245	3.377754		
0.00175	6.729499	3.474627	3.254872		
0.001875	6.59079	3.446296	3.144494		
0.002	6.466098	3.421466	3.044633		
0.0021875	6.300706	3.389494	2.911211		
0.002375	6.156459	3.362538	2.79392		
0.0025625	6.029259	3.339509	2.68975		
0.00275	5.916034	3.319609	2.596425		
0.0029375	5.814428	3.302245	2.512184		
0.003125	5.722602	3.28696	2.435642		
0.0033125	5.639099	3.273404	2.365696		
0.0035	5.562746	3.261298	2.301448		
0.003875	5.427838	3.240601	2.187237		
0.00425	5.312052	3.223555	2.088497		
0.004625	5.211296	3.209273	2.002023		
0.005	5.122601	3.197133	1.925469		
0.0053125	5.056292	3.188325	1.867967		
0.005625	4.995821	3.180496	1.815326		
0.0059375	4.940388	3.173491	1.766896		
0.00625	4.889333	3.167187	1.722146		
0.006875	4.798278	3.156297	1.641981		
0.0075	4.719281	3.147223	1.572058		
0.008125	4.649913	3.139544	1.510369		
0.00875	4.588378	3.132963	1.455416		
0.009375	4.533314	3.127259	1.406056		
0.01	4.483669	3.122268	1.361402		
0.010625	4.438614	3.117864	1.32075		
0.01125	4.397485	3.113949	1.283536		
0.011875	4.359748	3.110447	1.249301		
0.0125	4.324961	3.107295	1.217666		
0.01375	4.262843	3.10185	1.160993		
0.015	4.208868	3.097313	1.111555		
0.01625	4.161407	3.093473	1.067933		
0.0175	4.119255	3.090183	1.029073		
0.01875	4.081503	3.08733	0.9941721		
0.02	4.047443	3.084835	0.962608		
0.021325	4.014755	3.082509	0.9322456		
0.02265	3.985064	3.080455	0.904609		
0.023975	3.957946	3.078628	0.8793178		
0.0253	3.933053	3.076993	0.8560601		
0.02684375	3.906476	3.075291	0.831185		
0.0283875	3.882156	3.073774	0.8083813		
0.031475	3.839115	3.071187	0.7679273		
0.0345625	3.802073	3.069062	0.7330108		
0.03765	3.769749	3.067286	0.702463		
0.0407375	3.741223	3.065779	0.6754448		
0.043825	3.715814	3.064484	0.6513302		
0.0469125	3.692997	3.063359	0.6296378		
0.05	3.672365	3.062374	0.6099914		
0.053125	3.653377	3.061493	0.5918843		
0.05625	3.636026	3.060709	0.5753166		
0.059375	3.62009	3.060009	0.5600815		
0.0625	3.605384	3.059378	0.5460055		
0.06875	3.579062	3.058289	0.5207734		
0.075	3.556111	3.057381	0.4987298		
