0.02684375	4.930692	4.926944	0.003748727	0			
0.0283875	4.920381	4.916735	0.00364538	0			
0.031475	4.902784	4.899322	0.003461976	0			
0.0345625	4.888324	4.88502	0.003303719	0			
0.03765	4.876228	4.873063	0.003165343	0			
0.0407375	4.86596	4.862917	0.003043008	0			
0.043825	4.857135	4.854201	0.002933842	0			
0.0469125	4.849468	4.846632	0.002835642	0			
0.05	4.842744	4.839998	0.002746692	0			
0.053125	4.836732	4.834067	0.002664684	0			
0.05625	4.831386	4.828796	0.002589613	0			
0.059375	4.8266	4.824079	0.002520553	0			
0.0625	4.822291	4.819834	0.00245674	0			
0.06875	4.814843	4.8125	0.002342417	0			
0.075	4.808632	4.806389	0.002242685	0			
0.08125	4.803372	4.801218	0.002154679	0			
0.0875	4.798861	4.796785	0.002076273	0			
0.09375	4.794949	4.792944	0.002005848	0			
0.1	4.791525	4.789582	0.001942145	0			
0.10625	4.788501	4.786617	0.001884164	0			
0.1125	4.785812	4.783981	0.001831099	0			
0.11875	4.783406	4.781623	0.001782289	0			
0.125	4.781238	4.779501	0.00173719	0			
0.1375	4.777493	4.775836	0.001656388	0			
0.15	4.774368	4.772782	0.001585881	0			
0.1625	4.771722	4.770198	0.001523654	0			
0.175	4.769451	4.767983	0.00146822	0			
0.1875	4.767482	4.766063	0.001418436	0			
0.2	4.765757	4.764383	0.001373403	0			
0.21875	4.763537	4.762224	0.001313228	0			
0.2375	4.761666	4.760405	0.001260304	0			
0.25625	4.760066	4.758853	0.001213281	0			
0.275	4.758683	4.757512	0.001171153	0			
0.29375	4.757476	4.756342	0.001133145	0			
0.3125	4.756412	4.755313	0.001098643	0			
0.33125	4.755467	4.7544	0.001067147	0			
0.35	4.754623	4.753585	0.001038234	0			
0.3875	4.753178	4.752192	9.87E-04	0			
0.425	4.751986	4.751044	9.42E-04	0			
0.5	4.750134	4.749265	8.69E-04	0			
0.625	4.748026	4.747249	7.77E-04	0			
0.75	4.746614	4.745904	7.09E-04	0			
0.875	4.745601	4.744944	6.57E-04	0			
1	4.744838	4.744223	6.15E-04	0			
1.25	4.743764	4.743214	5.49E-04	0			
1.5	4.743042	4.74254	5.02E-04	0			
1.75	4.742524	4.742059	4.64E-04	0			
2	4.742132	4.741697	4.34E-04	0			
2.375	4.741696	4.741298	3.99E-04	0			
2.75	4.741377	4.741006	3.71E-04	0			
3.125	4.741131	4.740784	3.48E-04	0			
3.5	4.740937	4.740609	3.28E-04	0			
4.25	4.740648	4.74035	2.98E-04	0			
5	4.740442	4.740168	2.75E-04	0			
5.00005	4.74044199	0	2.75E-04	0			
6.25	4.740204	0	2.46E-04	0			
7.5	4.74004	0	2.24E-04	0			
8.75	4.73992	0	2.08E-04	0			
10	4.739827	0	1.94E-04	0			
12.5	4.739695	0	1.74E-04	0			
15	4.7396	0	1.59E-04	0			
17.5	4.73953	0	1.47E-04	0			
20	4.739472	0	1.37E-04	0			
23.75	4.739404	0	1.26E-04	0			
27.5	4.739349	0	1.17E-04	0			
31.25	4.739302	0	1.10E-04	0			
35	4.739262	0	1.04E-04	0			
42.5	4.739193	0	9.42E-05	0			
50	4.739133	0	8.68E-05	0			
62.5	4.739046	0	7.77E-05	0			
75	4.738969	0	7.09E-05	0			
87.5	4.738896	0	6.56E-05	0			
100	4.738828	0	6.14E-05	0			
125	4.738696	0	5.49E-05	0			
150	4.73857	0	5.01E-05	0			
175	4.738446	0	4.64E-05	0			
200	4.738326	0	4.34E-05	0			
237.5	4.738145	0	3.98E-05	0			
275	4.737967	0	3.70E-05	0			
312.5	4.737791	0	3.47E-05	0			
350	4.737615	0	3.28E-05	0			
425	4.737265	0	2.98E-05	0			
500	4.736917	0	2.75E-05	0			
625	4.736338	0	2.52E-05	0			
750	4.735761	0	2.34E-05	0			
875	4.735185	0	2.21E-05	0			
1000	4.734609	0	2.09E-05	0			
1250	4.73345	0	1.91E-05	0			
1500	4.732292	0	1.78E-05	0			
1750	4.731136	0	1.67E-05	0			
2000	4.729978	0	1.59E-05	0			
2750	4.726508	0	1.44E-05	0			
3500	4.72304	0	1.34E-05	0			
4250	4.719571	0	1.27E-05	0			
5000	4.716105	0	1.21E-05	0			
6250	4.711855	0	1.17E-05	0			
7500	4.707607	0	1.14E-05	0			
8750	4.703359	0	1.12E-05	0			
10000	4.69911	0	1.10E-05	0			
12500	4.69061	0	1.09E-05	0			
15000	4.68211	0	1.09E-05	0			
17500	4.67371	0	1.08E-05	0			
