						
						
Energy	total	scatter	capture	fission		
0.0175	8.739031	8.679049	0.05998201	0		
0.01875	8.732537	8.67459	0.05794652	0		
0.02	8.726793	8.670688	0.0561052	0		
0.021325	8.721385	8.667052	0.05433346	0		
0.02265	8.716561	8.66384	0.05272025	0		
0.023975	8.712227	8.660984	0.05124352	0		
0.0253	8.708312	8.658427	0.04988518	0		
0.02684375	8.704197	8.655765	0.04843194	0		
0.0283875	8.700492	8.653393	0.04709915	0		
0.031475	8.694079	8.649347	0.04473253	0		
0.0345625	8.688711	8.646023	0.04268745	0		
0.03765	8.684142	8.643244	0.04089758	0		
0.0407375	8.680201	8.640886	0.03931495	0		
0.043825	8.676763	8.63886	0.03790288	0		
0.0469125	8.673733	8.6371	0.03663292	0		
0.05	8.67104	8.635557	0.03548282	0		
0.053125	8.668601	8.634178	0.03442295	0		
0.05625	8.666405	8.632951	0.03345357	0		
0.059375	8.664417	8.631854	0.03256282	0		
0.0625	8.662606	8.630866	0.03174038	0		
0.06875	8.659425	8.629159	0.03026583	0		
0.075	8.656712	8.627735	0.02897662	0		
0.08125	8.654368	8.62653	0.02783818	0		
0.0875	8.65232	8.625496	0.02682411	0		
0.09375	8.650512	8.624599	0.02591342	0		
0.1	8.648903	8.623814	0.02508965	0		
0.10625	8.64746	8.62312	0.02433987	0		
0.1125	8.646157	8.622503	0.02365397	0		
0.11875	8.644975	8.621951	0.02302416	0		
0.125	8.643896	8.621453	0.02244347	0		
0.1375	8.641993	8.620591	0.02140151	0		
0.15	8.640361	8.619872	0.02048918	0		
0.1625	8.638946	8.619262	0.01968403	0		
0.175	8.637704	8.618737	0.01896697	0		
0.1875	8.636604	8.618281	0.01832347	0		
0.2	8.635623	8.61788	0.01774295	0		
0.21875	8.63433	8.617364	0.01696655	0		
0.2375	8.633208	8.616926	0.01628196	0		
0.25625	8.632224	8.61655	0.01567401	0		
0.275	8.631353	8.616223	0.01512947	0		
0.29375	8.630574	8.615936	0.01463803	0		
0.3125	8.629874	8.615682	0.0141916	0		
0.33125	8.629239	8.615455	0.01378404	0		
0.35	8.628662	8.61525	0.01341213	0		
0.3875	8.627644	8.614895	0.0127485	0		
0.425	8.62677	8.614599	0.01217182	0		
0.5	8.625346	8.614124	0.01122253	0		
0.625	8.623591	8.613554	0.01003732	0		
0.75	8.6223	8.613139	0.009160968	0		
0.875	8.621296	8.612814	0.008482197	0		
1	8.620479	8.612544	0.007935163	0		
1.25	8.619201	8.612105	0.007095359	0		
1.5	8.61822	8.611744	0.006475829	0		
1.75	8.617423	8.611428	0.005995478	0		
2	8.616747	8.611139	0.005607972	0		
2.375	8.615885	8.61074	0.005145461	0		
2.75	8.615147	8.610366	0.0047816	0		
3.125	8.614492	8.610008	0.004484581	0		
3.5	8.613897	8.609661	0.004236733	0		
4.25	8.612831	8.608988	0.003843498	0		
5	8.611875	8.608332	0.003542717	0		
5.00005	8.611874942	0	0.003542702	0		
6.25	8.61043	0	0.003167397	0		
7.5	8.609099	0	0.002890094	0		
8.75	8.607841	0	0.002674728	0		
10	8.606629	0	0.002501086	0		
12.5	8.604299	0	0.002235094	0		
15	8.602048	0	0.002038644	0		
17.5	8.599847	0	0.001885966	0		
20	8.597682	0	0.00176278	0		
23.75	8.594476	0	0.001615705	0		
27.5	8.59131	0	0.001499775	0		
31.25	8.588171	0	0.001405217	0		
35	8.585053	0	0.001326218	0		
42.5	8.578864	0	0.001200678	0		
50	8.572723	0	0.001104405	0		
62.5	8.56257	0	9.84E-04	0		
75	8.552497	0	8.95E-04	0		
87.5	8.542491	0	8.25E-04	0		
100	8.532546	0	7.69E-04	0		
125	8.512818	0	6.83E-04	0		
150	8.493291	0	6.19E-04	0		
175	8.473955	0	5.69E-04	0		
200	8.454797	0	5.29E-04	0		
237.5	8.426384	0	4.80E-04	0		
275	8.39834	0	4.42E-04	0		
312.5	8.37065	0	4.11E-04	0		
350	8.343298	0	3.85E-04	0		
425	8.289551	0	3.43E-04	0		
500	8.236988	0	3.12E-04	0		
562.5	8.194012	0	2.91E-04	0		
625	8.151721	0	2.73E-04	0		
750	8.06894	0	2.46E-04	0		
875	7.988116	0	2.26E-04	0		
1000	7.908651	0	2.12E-04	0		
1125	7.829823	0	2.03E-04	0		
1250	7.750698	0	1.99E-04	0		
1375	7.669957	0	2.01E-04	0		
1437.5	7.628383	0	2.05E-04	0		
1500	7.585546	0	2.11E-04	0		
1562.5	7.540957	0	2.20E-04	0		
1625	7.49394	0	2.34E-04	0		
1687.5	7.443533	0	2.54E-04	0		
1718.75	7.416637	0	2.67E-04	0		
1750	7.38829	0	2.84E-04	0		
1781.25	7.358192	0	3.04E-04	0		
1812.5	7.325942	0	3.29E-04	0		
1843.75	7.291019	0	3.60E-04	0		
1875	7.252729	0	3.99E-04	0		
1906.25	7.210144	0	4.51E-04	0		
1921.875	7.186848	0	4.83E-04	0		
1937.5	7.161917	0	5.19E-04	0		
1953.125	7.13511	0	5.62E-04	0		
1968.75	7.106106	0	6.12E-04	0		
1984.375	7.074509	0	6.72E-04	0		
2000	7.039826	0	7.44E-04	0		
2014.2	7.005076	0	8.22E-04	0		
2028.399	6.966594	0	9.17E-04	0		
2042.599	6.923626	0	0.001032996	0		
2056.798	6.875187	0	0.001176459	0		
2063.898	6.849085	0	0.001258237	0		
2070.998	6.820662	0	0.001352946	0		
2078.098	6.790135	0	0.001460046	0		
2085.197	6.757231	0	0.001581777	0		
2092.297	6.721615	0	0.001720992	0		
2099.397	6.682893	0	0.001881234	0		
2106.497	6.640586	0	0.002067063	0		
2113.596	6.594114	0	0.002284337	0		
2121.169	6.539147	0	0.002559369	0		
2128.742	6.477601	0	0.002890763	0		
2136.315	6.408133	0	0.003295084	0		
2143.888	6.329007	0	0.003795471	0		
2151.461	6.238182	0	0.004422096	0		
2155.248	6.187495	0	0.004796721	0		
2159.034	6.132435	0	0.005225388	0		
2162.821	6.072602	0	0.005716272	0		
2166.607	6.007365	0	0.006281736	0		
2170.394	5.935897	0	0.006938087	0		
2174.18	5.857283	0	0.00770552	0		
2178.204	5.764561	0	0.00867343	0		
2182.227	5.660728	0	0.00984017	0		
2186.25	5.543603	0	0.01126464	0		
2190.273	5.410438	0	0.01302889	0		
2194.297	5.257657	0	0.01525072	0		
2196.309	5.173186	0	0.01656462	0		
2198.32	5.082481	0	0.01804934	0		
2200.332	4.983353	0	0.01977539	0		
2202.343	4.875702	0	0.02176568	0		
2204.355	4.758363	0	0.02407684	0		
2206.366	4.630126	0	0.02677903	0		
2208.496	4.480607	0	0.030174	0		
2210.626	4.314803	0	0.03426429	0		
2212.756	4.13002	0	0.03925418	0		
2214.886	3.922998	0	0.04542885	0		
2217.016	3.689793	0	0.05319582	0		
2218.081	3.562031	0	0.05784369	0		
2219.146	3.426254	0	0.06309925	0		
2220.211	3.28166	0	0.06909105	0		
2221.276	3.126876	0	0.07602324	0		
2222.341	2.961064	0	0.08409515	0		
2223.405	2.783796	0	0.09353244	0		
2224.53	2.582952	0	0.1053628	0		
2225.654	2.367787	0	0.119592	0		
2226.778	2.137762	0	0.1369356	0		
2227.902	1.893298	0	0.1583781	0		
2229.026	1.636323	0	0.1853122	0		
2229.588	1.504455	0	0.2014276	0		
2230.15	1.371563	0	0.219728	0		
2230.712	1.239101	0	0.2406369	0		
2231.274	1.109164	0	0.2647048	0		
2231.836	0.9847496	0	0.2926361	0		
2232.398	0.8701486	0	0.3253224	0		
2232.96	0.7715427	0	0.3639117	0		
2233.241	0.7309094	0	0.3858778	0		
2233.522	0.6979473	0	0.4099307	0		
2233.803	0.6744631	0	0.4363489	0		
2233.944	0.6669258	0	0.4505971	0		
2234.084	0.6626648	0	0.4654604	0		
2234.225	0.6619761	0	0.4812019	0		
2234.365	0.6652617	0	0.4976528	0		
2234.506	0.6730091	0	0.5151084	0		
2234.646	0.6855944	0	0.5333864	0		
2234.758	0.699534	0	0.5487352	0		
2234.869	0.7170671	0	0.5646261	0		
2234.98	0.7386267	0	0.5812345	0		
2235.091	0.7645678	0	0.5986053	0		
2235.165	0.7844866	0	0.6106332	0		
2235.238	0.8063338	0	0.6228665	0		
2235.327	0.8361089	0	0.6382981	0		
2235.416	0.869566	0	0.654326	0		
2235.52	0.9136848	0	0.6738534	0		
2235.623	0.9631499	0	0.6940923	0		
2235.727	1.019427	0	0.7154947	0		
2235.83	1.081979	0	0.7377119	0		
2235.934	1.152632	0	0.7612448	0		
2236.037	1.230688	0	0.7857154	0		
2236.141	1.318409	0	0.8116816	0		
2236.244	1.414915	0	0.8387327	0		
2236.348	1.522994	0	0.867493	0		
2236.451	1.641562	0	0.8975162	0		
2236.555	1.774051	0	0.9295046	0		
2236.658	1.919155	0	0.9629728	0		
2236.821	2.180464	0	1.019925	0		
2236.984	2.486266	0	1.08234	0		
2237.147	2.844248	0	1.150981	0		
2237.309	3.260976	0	1.226271	0		
2237.472	3.753005	0	1.310227	0		
2237.635	4.332123	0	1.40373	0		
2237.798	5.015964	0	1.508393	0		
2237.96	5.821224	0	1.625426	0		
2238.123	6.785557	0	1.758704	0		
2238.286	7.939661	0	1.910569	0		
2238.449	9.328281	0	2.084781	0		
2238.611	10.99689	0	2.284683	0		
2238.774	13.0376	0	2.518509	0		
2238.937	15.53154	0	2.79226	0		
2239.019	16.99219	0	2.947763	0		
2239.1	18.59178	0	3.114693	0		
2239.181	20.36522	0	3.296231	0		
2239.262	22.33238	0	3.493861	0		
2239.344	24.54344	0	3.711976	0		
2239.425	26.96859	0	3.94702	0		
2239.507	29.69439	0	4.206732	0		
2239.588	32.68276	0	4.486811	0		
2239.67	36.03853	0	4.796371	0		
2239.751	39.71248	0	5.130142	0		
2239.832	43.77769	0	5.494098	0		
2239.913	48.27014	0	5.890682	0		
2239.995	53.29153	0	6.32796	0		
2240.076	58.75838	0	6.797825	0		
2240.238	71.36067	0	7.860706	0		
2240.401	86.54941	0	9.112016	0		
2240.563	104.4329	0	10.55326	0		
2240.719	124.5116	0	12.13875	0		
2240.874	147.3901	0	13.91104	0		
2241.029	173.2406	0	15.87664	0		
2241.184	201.9922	0	18.02294	0		
2241.34	233.6363	0	20.3415	0		
2241.495	267.3774	0	22.76657	0		
2241.805	339.2957	0	27.77534	0		
2242.154	420.1275	0	33.10726	0		
2242.329	457.0388	0	35.39706	0		
2242.503	489.2508	0	37.27506	0		
2242.752	524.7458	0	39.08959	0		
2243	544.8417	0	39.71088	0		
2243.083	547.8189	0	39.63888	0		
2243.331	545.2576	0	38.59962	0		
2243.578	526.4523	0	36.43983	0		
2243.826	493.655	0	33.36508	0		
2244.073	450.7145	0	29.69356	0		
2244.686	326.2114	0	19.9278	0		
2244.992	267.2581	0	15.58623	0		
2245.145	240.5647	0	13.67234	0		
2245.298	216.0954	0	11.94749	0		
2245.421	198.1178	0	10.69944	0		
2245.544	181.6619	0	9.572453	0		
2245.667	166.6995	0	8.561729	0		
2245.789	153.278	0	7.667586	0		
2245.912	141.0993	0	6.86763	0		
2246.034	130.2701	0	6.166509	0		
2246.157	120.5117	0	5.543973	0		
2246.279	111.8793	0	5.001515	0		
2246.402	104.1268	0	4.521802	0		
2246.524	97.2805	0	4.104756	0		
2246.647	91.13261	0	3.736173	0		
2246.769	85.69561	0	3.415417	0		
2246.892	80.79966	0	3.131224	0		
2247.014	76.4526	0	2.882954	0		
2247.259	69.0054	0	2.467581	0		
2247.484	63.38172	0	2.16331	0		
2247.709	58.66083	0	1.914926	0		
2247.934	54.65052	0	1.709477	0		
2248.158	51.21935	0	1.53807	0		
2248.383	48.2266	0	1.392083	0		
2248.607	45.61542	0	1.267551	0		
2248.832	43.29787	0	1.159366	0		
2249.056	41.24449	0	1.065454	0		
2249.505	37.74079	0	0.9097216	0		
2249.954	34.87139	0	0.7867821	0		
2250.403	32.48024	0	0.6878222	0		
2250.852	30.45831	0	0.6068532	0		
2251.302	28.72326	0	0.5395242	0		
2251.751	27.22453	0	0.4830897	0		
2252.2	25.91439	0	0.4351581	0		
2252.649	24.75974	0	0.3940713	0		
2253.099	23.73287	0	0.3585003	0		
2253.548	22.81813	0	0.3276303	0		
2253.997	21.99687	0	0.3006098	0		
2254.446	21.25581	0	0.2768237	0		
2255.345	19.97108	0	0.2370144	0		
2256.243	18.89934	0	0.205295	0		
2257.141	17.99161	0	0.1795783	0		
2258.039	17.21395	0	0.1584501	0		
2258.856	16.59836	0	0.1423595	0		
2259.673	16.05462	0	0.1286411	0		
2260.49	15.56984	0	0.1168131	0		
2261.306	15.13483	0	0.1065307	0		
2262.123	14.74171	0	0.09752133	0		
2262.94	14.38563	0	0.08960487	0		
2264.573	13.76646	0	0.07642339	0		
2266.207	13.24606	0	0.06595046	0		
2267.84	12.80323	0	0.05750018	0		
2269.473	12.42172	0	0.05057854	0		
2271.106	12.08969	0	0.0448375	0		
2272.658	11.81182	0	0.04024354	0		
2274.21	11.56515	0	0.03633515	0		
2275.762	11.34575	0	0.03300382	0		
2277.313	11.14673	0	0.03008847	0		
2278.865	10.96573	0	0.02752919	0		
2280.417	10.80089	0	0.02527982	0		
2283.52	10.5126	0	0.02154199	0		
2286.624	10.26845	0	0.01857708	0		
2289.727	10.05909	0	0.01618647	0		
2292.83	9.877525	0	0.01423032	0		
2295.933	9.718575	0	0.01260976	0		
2298.874	9.585174	0	0.01131766	0		
2301.814	9.465871	0	0.01021578	0		
2304.754	9.358534	0	0.009268685	0		
2307.694	9.262853	0	0.008465339	0		
2310.634	9.17432	0	0.007747649	0		
2313.574	9.093773	0	0.007120871	0		
2316.514	9.018979	0	0.006558735	0		
2319.454	8.951332	0	0.006072881	0		
2322.395	8.887607	0	0.005627857	0		
2325.335	8.829644	0	0.005240662	0		
2331.215	8.724502	0	0.004569581	0		
2337.095	8.632747	0	0.004021218	0		
2342.975	8.551991	0	0.003567957	0		
2348.529	8.484079	0	0.003208359	0		
2354.083	8.422969	0	0.002901709	0		
2359.637	8.367649	0	0.002638069	0		
2365.19	8.317306	0	0.002409763	0		
2370.744	8.271738	0	0.002213756	0		
2376.297	8.229884	0	0.002042	0		
2381.851	8.190439	0	0.001885096	0		
2387.404	8.154371	0	0.001748944	0		
2398.511	8.08926	0	0.001516994	0		
2409.618	8.032429	0	0.001330362	0		
2420.725	7.982302	0	0.001178071	0		
2431.832	7.937676	0	0.001052251	0		
2442.286	7.899843	0	9.53E-04	0		
2452.74	7.865401	0	8.68E-04	0		
2463.194	7.833858	0	7.95E-04	0		
2473.647	7.804816	0	7.32E-04	0		
2484.101	7.777939	0	6.76E-04	0		
2494.555	7.752988	0	6.28E-04	0		
2515.462	7.707844	0	5.48E-04	0		
2536.37	7.667902	0	4.84E-04	0		
2557.277	7.632145	0	4.33E-04	0		
2578.184	7.59978	0	3.91E-04	0		
2599.091	7.570203	0	3.56E-04	0		
2629.146	7.531827	0	3.16E-04	0		
2659.2	7.4969	0	2.84E-04	0		
2689.255	7.465557	0	2.59E-04	0		
2704.282	7.450102	0	2.47E-04	0		
2719.309	7.436066	0	2.38E-04	0		
2749.364	7.408344	0	2.20E-04	0		
2779.418	7.382663	0	2.06E-04	0		
2839.527	7.334997	0	1.84E-04	0		
2899.636	7.29134	0	1.67E-04	0		
2959.745	7.251017	0	1.56E-04	0		
3019.854	7.212307	0	1.46E-04	0		
3079.962	7.175209	0	1.39E-04	0		
3205.407	7.102371	0	1.29E-04	0		
3330.851	7.03243	0	1.23E-04	0		
3456.295	6.964298	0	1.21E-04	0		
3581.739	6.896531	0	1.21E-04	0		
3701.957	6.830907	0	1.23E-04	0		
3822.175	6.763932	0	1.27E-04	0		
3942.393	6.695516	0	1.33E-04	0		
4062.61	6.623804	0	1.42E-04	0		
4182.828	6.548157	0	1.54E-04	0		
4242.937	6.508588	0	1.62E-04	0		
4303.046	6.467226	0	1.72E-04	0		
4363.155	6.424412	0	1.85E-04	0		
4423.264	6.380122	0	1.99E-04	0		
4483.373	6.333233	0	2.19E-04	0		
4543.481	6.284103	0	2.45E-04	0		
4572.229	6.259446	0	2.62E-04	0		
4600.977	6.234212	0	2.82E-04	0		
4629.725	6.20844	0	3.06E-04	0		
4658.472	6.181712	0	3.38E-04	0		
4687.22	6.154233	0	3.80E-04	0		
4701.594	6.140133	0	4.07E-04	0		
4715.967	6.125864	0	4.39E-04	0		
4730.341	6.11139	0	4.76E-04	0		
4744.715	6.096681	0	5.24E-04	0		
4759.089	6.081755	0	5.84E-04	0		
4773.462	6.066639	0	6.60E-04	0		
4781.303	6.058311	0	7.13E-04	0		
4789.143	6.04994	0	7.74E-04	0		
4796.983	6.041534	0	8.47E-04	0		
4804.823	6.0331	0	9.33E-04	0		
4811.684	6.025708	0	0.001024917	0		
4818.544	6.018323	0	0.001136096	0		
4825.405	6.010962	0	0.001271719	0		
4832.265	6.003658	0	0.00144037	0		
4839.126	5.996449	0	0.001653303	0		
4842.556	5.992898	0	0.001781157	0		
4845.986	5.989395	0	0.001927004	0		
4849.416	5.985956	0	0.002095706	0		
4852.846	5.982589	0	0.002289581	0		
4856.276	5.979314	0	0.002514095	0		
4859.706	5.976151	0	0.002775717	0		
4863.3	5.973012	0	0.003106521	0		
4866.893	5.97009	0	0.003506903	0		
4870.487	5.967451	0	0.003998019	0		
4874.08	5.965191	0	0.004609295	0		
4877.674	5.96344	0	0.00538407	0		
4879.471	5.962814	0	0.005851622	0		
4881.267	5.962396	0	0.006386031	0		
4883.064	5.962226	0	0.007001453	0		
4884.86	5.962355	0	0.007714129	0		
4886.657	5.96284	0	0.008544298	0		
4888.453	5.96375	0	0.009514459	0		
4890.25	5.96521	0	0.01066868	0		
4892.047	5.967384	0	0.01206269	0		
4893.844	5.970457	0	0.01376137	0		
4895.64	5.974689	0	0.01585645	0		
4897.437	5.980467	0	0.01848536	0		
4898.336	5.9841	0	0.02005924	0		
4899.234	5.988341	0	0.02184569	0		
4900.133	5.993313	0	0.02388953	0		
4901.031	5.999141	0	0.02623661	0		
4901.929	6.006004	0	0.0289517	0		
4902.827	6.01412	0	0.03211495	0		
4903.807	6.02475	0	0.03620515	0		
4904.787	6.037741	0	0.04114992	0		
4905.767	6.053818	0	0.04721853	0		
4906.747	6.07399	0	0.05478826	0		
4907.237	6.086041	0	0.05929747	0		
4907.727	6.09971	0	0.06440497	0		
4908.217	6.115292	0	0.07022342	0		
4908.707	6.133162	0	0.07689427	0		
4909.197	6.153794	0	0.08459757	0		
4909.687	6.177797	0	0.09356635	0		
4910.177	6.205977	0	0.1041084	0		
4910.667	6.239424	0	0.1166416	0		
4911.198	6.283406	0	0.1331615	0		
4911.729	6.338308	0	0.1538491	0		
4911.995	6.371333	0	0.1663299	0		
4912.26	6.409055	0	0.1806207	0		
4912.526	6.453072	0	0.197345	0		
4912.791	6.504947	0	0.2171222	0		
4913.057	6.567888	0	0.241213	0		
4913.322	6.64562	0	0.2710979	0		
4913.588	6.745078	0	0.3095201	0		
4913.721	6.805678	0	0.3330159	0		
4913.853	6.874979	0	0.3599507	0		
4913.986	6.955938	0	0.3914923	0		
4914.119	7.050388	0	0.4283743	0		
4914.252	7.161111	0	0.4717063	0		
4914.384	7.290371	0	0.5223965	0		
4914.517	7.444042	0	0.5827745	0		
4914.649	7.624373	0	0.6537523	0		
4914.782	7.839476	0	0.7385525	0		
4914.914	8.092284	0	0.8383623	0		
4915.057	8.418561	0	0.9673551	0		
4915.2	8.809314	0	1.122035	0		
4915.343	9.27613	0	1.307035	0		
4915.486	9.831991	0	1.527547	0		
4915.629	10.49124	0	1.789311	0		
4915.772	11.26949	0	2.098575	0		
4915.915	12.18342	0	2.462022	0		
4916.057	13.24251	0	2.883474	0		
4916.2	14.47957	0	3.376035	0		
4916.343	15.90568	0	3.944177	0		
4916.486	17.53825	0	4.594898	0		
4916.629	19.39349	0	5.334711	0		
4916.772	21.4856	0	6.16934	0		
4916.915	23.82598	0	7.103387	0		
4917.058	26.42232	0	8.139984	0		
4917.2	29.25685	0	9.272092	0		
4917.364	32.84512	0	10.70579	0		
4917.527	36.73235	0	12.25955	0		
4917.854	45.38013	0	15.7182	0		
4918.507	64.51443	0	23.38069	0		
4918.854	74.2686	0	27.29322	0		
4919.201	82.5129	0	30.60604	0		
4919.416	86.4559	0	32.19441	0		
4919.63	89.27343	0	33.33358	0		
4919.86	90.92024	0	34.00614	0		
4920	91.18149	0	34.11925	0		
4920.266	90.11287	0	33.70806	0		
4920.617	85.71993	0	31.97102	0		
4920.91	79.82091	0	29.62606	0		
4921.202	72.43153	0	26.68221	0		
4922.216	43.0264	0	14.93792	0		
4922.431	37.36986	0	12.67493	0		
4922.645	32.23718	0	10.62046	0		
4922.859	27.66003	0	8.787404	0		
4923.073	23.66265	0	7.185674	0		
4923.288	20.2251	0	5.807473	0		
4923.395	18.72219	0	5.204639	0		
4923.502	17.35074	0	4.654355	0		
4923.609	16.10466	0	4.154202	0		
4923.716	14.97722	0	3.701505	0		
4923.823	13.96126	0	3.293409	0		
4923.93	13.04931	0	2.926943	0		
4924.038	12.2266	0	2.59619	0		
4924.145	11.50072	0	2.304224	0		
4924.252	10.85613	0	2.044822	0		
4924.359	10.28557	0	1.815081	0		
4924.467	9.777636	0	1.610431	0		
4924.574	9.335035	0	1.431987	0		
4924.681	8.946508	0	1.275232	0		
4924.788	8.606216	0	1.137829	0		
4924.896	8.306157	0	1.016567	0		
4925.003	8.046886	0	0.9116898	0		
4925.11	7.820906	0	0.8201861	0		
4925.217	7.624119	0	0.7404149	0		
4925.324	7.452839	0	0.6708991	0		
4925.431	7.303766	0	0.6103174	0		
4925.538	7.173968	0	0.5574948	0		
4925.645	7.060855	0	0.5113919	0		
4925.753	6.961284	0	0.4707426	0		
4925.86	6.87509	0	0.4354934	0		
4926.074	6.733165	0	0.3772947	0		
4926.289	6.622367	0	0.3316798	0		
4926.503	6.535349	0	0.2957048	0		
4926.718	6.465134	0	0.2665535	0		
4926.932	6.407946	0	0.2427119	0		
4927.146	6.36025	0	0.2227503	0		
4927.36	6.319775	0	0.2057499	0		
4927.77	6.256826	0	0.1791932	0		
4928.179	6.20743	0	0.1582527	0		
4928.588	6.167278	0	0.1411665	0		
4928.997	6.133894	0	0.1269181	0		
4929.406	6.105682	0	0.1148479	0		
4929.815	6.081547	0	0.1045025	0		
4930.224	6.060689	0	0.09554887	0		
4930.633	6.042511	0	0.08773738	0		
4931.452	6.012421	0	0.07479691	0		
4932.27	5.988701	0	0.06459992	0		
4933.088	5.969593	0	0.05640224	0		
4933.906	5.953929	0	0.04970846	0		
4934.53	5.94378	0	0.04539275	0		
