
=================
== PulseHeight ==
=================
Number of histories: 100000000
Track time: 280148170
Estimator report: pulse height tally for detector region 
=========================================================== 
Lower Bin [eV]    Upper Bin [eV]    Score/NPS         Rel. Uncertainty 
810000            815000            0.00040043        0.00499631        
815000            820000            0.0003993         0.00500338        
820000            825000            0.00040188        0.00498729        
825000            830000            0.00040158        0.00498915        
830000            835000            0.00040378        0.00497554        
835000            840000            0.00040423        0.00497276        
840000            845000            0.00040442        0.0049716         
845000            850000            0.00040408        0.00497369        
850000            855000            0.00040194        0.00498692        
855000            860000            0.00040549        0.00496503        
860000            865000            0.00040424        0.0049727         
865000            870000            0.00040758        0.00495228        
870000            875000            0.00041548        0.00490495        
875000            880000            0.00041275        0.00492115        
880000            885000            0.00041201        0.00492557        
885000            890000            0.00041115        0.00493072        
890000            895000            0.000416          0.00490188        
895000            900000            0.00041307        0.00491925        
900000            905000            0.00041596        0.00490212        
905000            910000            0.00041725        0.00489453        
910000            915000            0.00041947        0.00488156        
915000            920000            0.00042151        0.00486973        
920000            925000            0.00042307        0.00486074        
925000            930000            0.00042777        0.00483395        
930000            935000            0.00043116        0.0048149         
935000            940000            0.00043773        0.00477861        
940000            945000            0.00043722        0.0047814         
945000            950000            0.00044625        0.00473275        
950000            955000            0.00045322        0.0046962         
955000            960000            0.00046012        0.00466084        
960000            965000            0.00047708        0.00457721        
965000            970000            0.00047851        0.00457036        
970000            975000            0.00049336        0.00450102        
975000            980000            0.00051241        0.00441652        
980000            985000            0.00054292        0.00429056        
985000            990000            0.00058024        0.00415021        
990000            995000            0.00064633        0.00393217        
995000            1e+06             0.0009049         0.00332279        
1e+06             1.005e+06         0                 nan               
1.005e+06         1.01e+06          0                 nan               
1.01e+06          1.015e+06         0                 nan               
1.015e+06         1.02e+06          0                 nan               
1.02e+06          1.025e+06         0                 nan               
1.025e+06         1.03e+06          0                 nan               
1.03e+06          1.035e+06         0                 nan               
1.035e+06         1.04e+06          0                 nan               
1.04e+06          1.045e+06         0                 nan               
1.045e+06         1.05e+06          0                 nan               
1.05e+06          1.055e+06         0                 nan               
1.055e+06         1.06e+06          0                 nan               
1.06e+06          1.065e+06         0                 nan               
1.065e+06         1.07e+06          0                 nan               
1.07e+06          1.075e+06         0                 nan               
1.075e+06         1.08e+06          0                 nan               
1.08e+06          1.085e+06         0                 nan               
1.085e+06         1.09e+06          0                 nan               
1.09e+06          1.095e+06         0                 nan               
1.095e+06         1.1e+06           0                 nan               
1.1e+06           1.105e+06         0                 nan               
1.105e+06         1.11e+06          0                 nan               
1.11e+06          1.115e+06         0                 nan               
1.115e+06         1.12e+06          0                 nan               
1.12e+06          1.125e+06         0                 nan               
1.125e+06         1.13e+06          0                 nan               
1.13e+06          1.135e+06         0                 nan               
1.135e+06         1.14e+06          0                 nan               
1.14e+06          1.145e+06         0                 nan               
1.145e+06         1.15e+06          0                 nan               
1.15e+06          1.155e+06         0                 nan               
1.155e+06         1.16e+06          0                 nan               
1.16e+06          1.165e+06         0                 nan               
1.165e+06         1.17e+06          0                 nan               
1.17e+06          1.175e+06         0                 nan               
1.175e+06         1.18e+06          0                 nan               
1.18e+06          1.185e+06         0                 nan               
1.185e+06         1.19e+06          0                 nan               
1.19e+06          1.195e+06         0                 nan               
1.195e+06         1.2e+06           0                 nan               
1.2e+06           1.205e+06         0                 nan               
1.205e+06         1.21e+06          0                 nan               
1.21e+06          1.215e+06         0                 nan               
1.215e+06         1.22e+06          0                 nan               
1.22e+06          1.225e+06         0                 nan               
1.225e+06         1.23e+06          0                 nan               
1.23e+06          1.235e+06         0                 nan               
1.235e+06         1.24e+06          0                 nan               
1.24e+06          1.245e+06         0                 nan               
1.245e+06         1.25e+06          0                 nan               
1.25e+06          1.255e+06         0                 nan               
1.255e+06         1.26e+06          0                 nan               
1.26e+06          1.265e+06         0                 nan               
1.265e+06         1.27e+06          0                 nan               
1.27e+06          1.275e+06         0                 nan               
1.275e+06         1.28e+06          0                 nan               
1.28e+06          1.285e+06         0                 nan               
1.285e+06         1.29e+06          0                 nan               
1.29e+06          1.295e+06         0                 nan               
1.295e+06         1.3e+06           0                 nan               
1.3e+06           1.305e+06         0                 nan               
1.305e+06         1.31e+06          0                 nan               
1.31e+06          1.315e+06         0                 nan               
1.315e+06         1.32e+06          0                 nan               
1.32e+06          1.325e+06         0                 nan               
1.325e+06         1.33e+06          0                 nan               
1.33e+06          1.335e+06         0                 nan               
1.335e+06         1.34e+06          0                 nan               
1.34e+06          1.345e+06         0                 nan               
1.345e+06         1.35e+06          0                 nan               
1.35e+06          1.355e+06         0                 nan               
1.355e+06         1.36e+06          0                 nan               
1.36e+06          1.365e+06         0                 nan               
1.365e+06         1.37e+06          0                 nan               
1.37e+06          1.375e+06         0                 nan               
